monthly_prescription_id,hcp_id,product_id,rx_month,source_record_count,rx_count,units_dispensed,average_units_per_prescription
H0001_P001_202506,H0001,P001,2025-06-01,1,1,49,49.0
H0001_P001_202508,H0001,P001,2025-08-01,1,2,114,57.0
H0001_P001_202509,H0001,P001,2025-09-01,1,2,84,42.0
H0001_P001_202510,H0001,P001,2025-10-01,1,2,112,56.0
H0001_P001_202511,H0001,P001,2025-11-01,1,1,32,32.0
H0001_P001_202512,H0001,P001,2025-12-01,1,1,37,37.0
H0001_P001_202601,H0001,P001,2026-01-01,1,1,57,57.0
H0001_P001_202602,H0001,P001,2026-02-01,1,2,62,31.0
H0001_P001_202603,H0001,P001,2026-03-01,1,1,22,22.0
H0001_P002_202506,H0001,P002,2025-06-01,1,5,180,36.0
H0001_P002_202507,H0001,P002,2025-07-01,1,3,177,59.0
H0001_P002_202508,H0001,P002,2025-08-01,1,2,46,23.0
H0001_P002_202509,H0001,P002,2025-09-01,1,4,156,39.0
H0001_P002_202510,H0001,P002,2025-10-01,1,2,64,32.0
H0001_P002_202511,H0001,P002,2025-11-01,1,3,114,38.0
H0001_P002_202512,H0001,P002,2025-12-01,1,4,224,56.0
H0001_P002_202601,H0001,P002,2026-01-01,1,4,132,33.0
H0001_P002_202602,H0001,P002,2026-02-01,1,4,160,40.0
H0001_P002_202603,H0001,P002,2026-03-01,1,2,44,22.0
H0001_P003_202506,H0001,P003,2025-06-01,1,3,60,20.0
H0001_P003_202508,H0001,P003,2025-08-01,1,2,112,56.0
H0001_P003_202510,H0001,P003,2025-10-01,1,1,47,47.0
H0001_P004_202506,H0001,P004,2025-06-01,1,2,106,53.0
H0001_P004_202508,H0001,P004,2025-08-01,1,3,138,46.0
H0001_P004_202510,H0001,P004,2025-10-01,1,1,35,35.0
H0001_P004_202511,H0001,P004,2025-11-01,1,1,45,45.0
H0001_P004_202512,H0001,P004,2025-12-01,1,2,96,48.0
H0001_P004_202603,H0001,P004,2026-03-01,1,2,66,33.0
H0001_P005_202506,H0001,P005,2025-06-01,1,4,128,32.0
H0001_P005_202507,H0001,P005,2025-07-01,1,4,168,42.0
H0001_P005_202508,H0001,P005,2025-08-01,1,3,114,38.0
H0001_P005_202509,H0001,P005,2025-09-01,1,1,54,54.0
H0001_P005_202510,H0001,P005,2025-10-01,1,2,114,57.0
H0001_P005_202511,H0001,P005,2025-11-01,1,3,105,35.0
H0001_P005_202512,H0001,P005,2025-12-01,1,2,42,21.0
H0001_P005_202601,H0001,P005,2026-01-01,1,5,255,51.0
H0001_P005_202602,H0001,P005,2026-02-01,1,2,42,21.0
H0001_P005_202603,H0001,P005,2026-03-01,1,2,118,59.0
H0002_P001_202506,H0002,P001,2025-06-01,1,2,78,39.0
H0002_P001_202507,H0002,P001,2025-07-01,1,2,116,58.0
H0002_P001_202508,H0002,P001,2025-08-01,1,3,81,27.0
H0002_P001_202509,H0002,P001,2025-09-01,1,4,124,31.0
H0002_P001_202510,H0002,P001,2025-10-01,1,4,148,37.0
H0002_P001_202511,H0002,P001,2025-11-01,1,2,54,27.0
H0002_P001_202512,H0002,P001,2025-12-01,1,3,87,29.0
H0002_P001_202601,H0002,P001,2026-01-01,1,4,240,60.0
