hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct
H0001,Dr. HCP_0001,Endocrinologist,B,North-1,North,91,3711,9.1,10,5,27,99,21.56,5,2026-03-30,3.37,1,0,958,1067,-10.22
H0002,Dr. HCP_0002,Pulmonologist,C,North-1,North,61,2439,6.1,10,5,55,238,20.78,5,2026-03-28,1.11,3,0,864,846,2.13
H0003,Dr. HCP_0003,Endocrinologist,C,Central-1,Central,89,3217,8.9,10,5,40,155,20.35,5,2026-03-22,2.23,9,0,874,982,-11.0
H0004,Dr. HCP_0004,Endocrinologist,B,West-2,West,44,1809,4.4,10,5,14,58,21.07,5,2026-02-23,3.14,36,0,641,299,114.38
H0005,Dr. HCP_0005,Neurologist,A,Central-2,Central,29,1179,2.9,10,4,6,26,22.0,3,2026-03-04,4.83,27,0,411,368,11.68
H0006,Dr. HCP_0006,Oncologist,A,South-2,South,206,7914,20.6,10,5,26,118,17.46,5,2026-03-30,7.92,1,0,2671,2706,-1.29
H0007,Dr. HCP_0007,Cardiologist,A,South-2,South,217,8517,21.7,10,5,25,104,17.92,5,2026-03-23,8.68,8,0,2971,2523,17.76
H0008,Dr. HCP_0008,Pulmonologist,C,West-1,West,23,964,2.3,10,3,17,82,20.76,5,2026-03-17,1.35,14,0,236,363,-34.99
H0009,Dr. HCP_0009,Oncologist,B,West-1,West,48,2111,4.8,9,4,10,36,21.3,4,2026-03-29,4.8,2,0,626,557,12.39
H0010,Dr. HCP_0010,Cardiologist,C,North-2,North,68,2853,6.8,10,5,56,254,18.8,5,2026-03-25,1.21,6,0,786,941,-16.47
H0011,Dr. HCP_0011,Cardiologist,A,East-2,East,57,2411,5.7,10,5,8,30,22.0,5,2026-03-05,7.13,26,0,880,364,141.76
H0012,Dr. HCP_0012,Endocrinologist,C,South-2,South,135,5192,13.5,10,5,78,277,19.76,5,2026-03-30,1.73,1,0,1521,1544,-1.49
H0013,Dr. HCP_0013,Oncologist,C,South-1,South,44,1712,4.4,10,5,36,132,19.58,5,2026-03-26,1.22,5,0,462,365,26.58
H0014,Dr. HCP_0014,Oncologist,B,East-1,East,10,469,1.0,7,2,0,0,0.0,0,,,304,1,114,203,-43.84
H0015,Dr. HCP_0015,Oncologist,A,North-2,North,135,5524,13.5,10,5,25,89,21.52,5,2026-03-31,5.4,0,0,1307,1837,-28.85
H0016,Dr. HCP_0016,General Physician,A,North-1,North,119,5083,11.9,10,5,10,41,19.1,4,2026-03-19,11.9,12,0,2023,959,110.95
H0017,Dr. HCP_0017,Endocrinologist,B,North-2,North,138,5145,13.8,10,5,43,185,19.88,5,2026-03-17,3.21,14,0,1529,1615,-5.33
H0018,Dr. HCP_0018,Oncologist,B,West-1,West,33,1388,3.3,9,5,12,46,20.08,5,2026-02-24,2.75,35,0,401,615,-34.8
H0019,Dr. HCP_0019,Oncologist,B,South-2,South,128,4725,12.8,10,5,41,181,21.37,5,2026-03-26,3.12,5,0,1665,1153,44.41
H0020,Dr. HCP_0020,Oncologist,B,South-1,South,70,2860,7.0,10,5,24,74,17.79,5,2026-03-26,2.92,5,0,1000,1066,-6.19
H0021,Dr. HCP_0021,Pulmonologist,B,West-1,West,47,1759,4.7,10,5,13,52,16.0,4,2026-03-13,3.62,18,0,601,521,15.36
H0022,Dr. HCP_0022,Oncologist,A,East-1,East,7,234,0.7,5,2,0,0,0.0,0,,,304,1,102,60,70.0
H0023,Dr. HCP_0023,Endocrinologist,B,South-1,South,123,4723,12.3,10,5,35,144,20.29,5,2026-03-19,3.51,12,0,1010,1623,-37.77
H0024,Dr. HCP_0024,Cardiologist,B,South-2,South,323,11844,32.3,10,5,62,267,18.87,5,2026-03-31,5.21,0,0,3749,3047,23.04
H0025,Dr. HCP_0025,Cardiologist,B,East-2,East,47,1807,4.7,10,4,12,45,17.67,4,2026-03-16,3.92,15,0,364,667,-45.43
H0026,Dr. HCP_0026,Oncologist,C,Central-2,Central,35,1504,3.5,10,5,19,61,19.89,5,2026-03-29,1.84,2,0,641,377,70.03
H0027,Dr. HCP_0027,Neurologist,A,North-1,North,193,8831,19.3,10,5,24,101,20.17,5,2026-03-27,8.04,4,0,2623,2249,16.63
H0028,Dr. HCP_0028,Cardiologist,B,South-1,South,94,3695,9.4,10,5,25,102,18.4,5,2026-03-23,3.76,8,0,1065,1107,-3.79
H0029,Dr. HCP_0029,Oncologist,B,South-2,South,191,7315,19.1,10,5,50,217,19.5,5,2026-03-18,3.82,13,0,1955,2655,-26.37
H0030,Dr. HCP_0030,Endocrinologist,A,Central-2,Central,28,1157,2.8,10,5,5,28,11.8,4,2026-01-01,5.6,89,0,541,190,184.74
H0031,Dr. HCP_0031,Cardiologist,B,Central-2,Central,33,1409,3.3,10,3,11,62,19.45,4,2026-01-22,3.0,68,0,492,380,29.47
H0032,Dr. HCP_0032,Neurologist,A,Central-2,Central,54,2163,5.4,10,4,4,14,25.75,2,2026-01-21,13.5,69,0,855,465,83.87
H0033,Dr. HCP_0033,Endocrinologist,A,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0034,Dr. HCP_0034,Pulmonologist,C,South-2,South,105,4356,10.5,10,5,66,288,19.29,5,2026-03-25,1.59,6,0,1153,1276,-9.64
H0035,Dr. HCP_0035,General Physician,C,South-1,South,63,2473,6.3,10,5,39,165,21.46,5,2026-03-25,1.62,6,0,867,640,35.47
H0036,Dr. HCP_0036,Pulmonologist,C,West-2,West,29,1220,2.9,10,5,17,52,23.88,5,2026-03-29,1.71,2,0,267,484,-44.83
H0037,Dr. HCP_0037,Oncologist,B,North-1,North,148,6361,14.8,10,5,36,148,20.39,5,2026-03-30,4.11,1,0,1613,2160,-25.32
H0038,Dr. HCP_0038,Neurologist,A,North-2,North,143,5904,14.3,10,5,14,63,18.07,5,2026-03-24,10.21,7,0,1419,2078,-31.71
H0039,Dr. HCP_0039,Pulmonologist,B,Central-1,Central,130,5017,13.0,10,5,33,137,18.06,5,2026-02-14,3.94,45,0,1597,1792,-10.88
H0040,Dr. HCP_0040,Cardiologist,B,East-2,East,37,1367,3.7,10,5,9,40,19.56,4,2026-03-19,4.11,12,0,420,389,7.97
H0041,Dr. HCP_0041,Pulmonologist,A,East-2,East,76,3311,7.6,10,5,10,41,20.6,5,2026-01-06,7.6,84,0,898,1224,-26.63
H0042,Dr. HCP_0042,Neurologist,B,West-2,West,49,2118,4.9,10,5,15,43,25.13,5,2026-03-30,3.27,1,0,856,389,120.05
H0043,Dr. HCP_0043,General Physician,A,Central-2,Central,86,3352,8.6,10,5,15,56,18.67,5,2026-03-29,5.73,2,0,1070,1235,-13.36
H0044,Dr. HCP_0044,Pulmonologist,C,Central-1,Central,52,2003,5.2,10,5,41,171,22.1,5,2026-03-30,1.27,1,0,854,583,46.48
H0045,Dr. HCP_0045,Pulmonologist,B,South-1,South,109,4119,10.9,10,5,28,106,19.04,5,2026-03-19,3.89,12,0,968,1369,-29.29
H0046,Dr. HCP_0046,General Physician,B,North-2,North,202,8681,20.2,10,5,42,186,23.31,5,2026-03-29,4.81,2,0,2177,2478,-12.15
H0047,Dr. HCP_0047,Pulmonologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0048,Dr. HCP_0048,Endocrinologist,B,East-2,East,33,1351,3.3,10,4,8,41,21.63,4,2025-12-03,4.13,118,0,502,475,5.68
H0049,Dr. HCP_0049,Oncologist,B,Central-1,Central,156,6114,15.6,10,5,35,142,19.34,5,2026-03-26,4.46,5,0,1435,1776,-19.2
H0050,Dr. HCP_0050,Cardiologist,A,North-1,North,125,4853,12.5,10,5,21,83,18.38,5,2026-03-04,5.95,27,0,910,1336,-31.89
H0051,Dr. HCP_0051,Cardiologist,C,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0052,Dr. HCP_0052,Endocrinologist,C,East-2,East,26,1030,2.6,7,5,16,54,22.19,5,2026-03-27,1.63,4,0,179,531,-66.29
H0053,Dr. HCP_0053,General Physician,C,South-1,South,45,1769,4.5,10,5,32,148,19.44,5,2026-03-07,1.41,24,0,595,548,8.58
H0054,Dr. HCP_0054,General Physician,C,Central-1,Central,68,2758,6.8,10,5,44,178,20.02,5,2026-03-21,1.55,10,0,1169,557,109.87
H0055,Dr. HCP_0055,Cardiologist,B,Central-1,Central,181,6670,18.1,10,5,44,182,21.27,5,2026-03-29,4.11,2,0,1816,2305,-21.21
H0056,Dr. HCP_0056,General Physician,C,North-2,North,73,2972,7.3,10,5,67,276,20.09,5,2026-03-28,1.09,3,0,1135,715,58.74
H0057,Dr. HCP_0057,Cardiologist,A,Central-1,Central,107,4666,10.7,10,5,14,49,20.93,5,2026-03-27,7.64,4,0,1337,1539,-13.13
H0058,Dr. HCP_0058,Neurologist,A,Central-2,Central,41,1530,4.1,10,4,8,26,20.88,4,2026-03-31,5.13,0,0,553,436,26.83
H0059,Dr. HCP_0059,Endocrinologist,A,West-1,West,128,5025,12.8,10,4,13,40,22.0,4,2026-02-02,9.85,57,0,1595,1707,-6.56
H0060,Dr. HCP_0060,Pulmonologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0061,Dr. HCP_0061,Endocrinologist,B,East-2,East,42,1646,4.2,10,5,10,31,15.7,5,2026-03-25,4.2,6,0,413,460,-10.22
H0062,Dr. HCP_0062,Pulmonologist,B,North-2,North,116,4251,11.6,10,5,42,206,21.52,5,2026-03-28,2.76,3,0,1786,871,105.05
H0063,Dr. HCP_0063,General Physician,C,Central-2,Central,13,564,1.3,8,3,14,61,23.07,5,2026-03-18,0.93,13,0,287,93,208.6
H0064,Dr. HCP_0064,Endocrinologist,B,South-2,South,193,7903,19.3,10,5,53,191,19.66,5,2026-03-18,3.64,13,0,2274,2693,-15.56
H0065,Dr. HCP_0065,Cardiologist,B,West-1,West,50,1933,5.0,10,4,13,40,18.92,4,2026-03-09,3.85,22,0,368,490,-24.9
H0066,Dr. HCP_0066,Oncologist,B,East-2,East,61,2425,6.1,10,4,13,53,20.0,5,2026-03-25,4.69,6,0,792,546,45.05
H0067,Dr. HCP_0067,Endocrinologist,A,East-1,East,3,94,0.3,3,1,0,0,0.0,0,,,304,1,23,71,-67.61
H0068,Dr. HCP_0068,Cardiologist,C,West-1,West,16,583,1.6,9,5,14,59,22.64,5,2026-03-23,1.14,8,0,178,98,81.63
H0069,Dr. HCP_0069,Endocrinologist,A,South-2,South,224,9832,22.4,10,5,23,114,21.74,5,2026-03-31,9.74,0,0,2322,3941,-41.08
H0070,Dr. HCP_0070,Pulmonologist,C,East-2,East,35,1265,3.5,9,5,21,74,21.0,5,2026-03-18,1.67,13,0,495,371,33.42
H0071,Dr. HCP_0071,Cardiologist,C,South-2,South,78,2951,7.8,10,5,71,274,20.0,5,2026-03-27,1.1,4,0,735,862,-14.73
H0072,Dr. HCP_0072,Pulmonologist,A,West-1,West,68,2613,6.8,10,5,8,32,24.0,4,2025-12-31,8.5,90,0,658,918,-28.32
H0073,Dr. HCP_0073,Pulmonologist,A,North-2,North,50,2093,5.0,10,5,13,72,19.69,5,2026-03-23,3.85,8,0,492,738,-33.33
H0074,Dr. HCP_0074,Oncologist,C,Central-1,Central,76,3184,7.6,10,5,45,215,18.91,5,2026-03-31,1.69,0,0,875,1158,-24.44
H0075,Dr. HCP_0075,Cardiologist,C,North-1,North,54,2069,5.4,10,5,42,153,19.48,5,2026-03-24,1.29,7,0,502,714,-29.69
