hcp_id,hcp_name,specialty,segment,territory,region,total_calls,average_call_duration,total_samples_received,last_call_date,total_prescriptions,total_units_dispensed,product_breadth,days_since_last_call,prescriptions_per_call
H0001,Dr. HCP_0001,Endocrinologist,B,North-1,North,35.0,21.02857142857143,128.0,2026-04-20,109.0,4493.0,5.0,10.0,3.11
H0002,Dr. HCP_0002,Pulmonologist,C,North-1,North,67.0,20.71641791044776,287.0,2026-04-24,69.0,2751.0,5.0,6.0,1.03
H0003,Dr. HCP_0003,Endocrinologist,C,Central-1,Central,50.0,20.64,192.0,2026-04-29,102.0,3871.0,5.0,1.0,2.04
H0004,Dr. HCP_0004,Endocrinologist,B,West-2,West,14.0,21.071428571428573,58.0,2026-02-23,58.0,2317.0,5.0,66.0,4.14
H0005,Dr. HCP_0005,Neurologist,A,Central-2,Central,8.0,23.875,35.0,2026-04-03,35.0,1418.0,4.0,27.0,4.38
H0006,Dr. HCP_0006,Oncologist,A,South-2,South,30.0,17.8,128.0,2026-04-19,265.0,10171.0,5.0,11.0,8.83
H0007,Dr. HCP_0007,Cardiologist,A,South-2,South,29.0,18.620689655172413,127.0,2026-04-04,265.0,10562.0,5.0,26.0,9.14
H0008,Dr. HCP_0008,Pulmonologist,C,West-1,West,19.0,20.894736842105264,90.0,2026-04-16,30.0,1205.0,4.0,14.0,1.58
H0009,Dr. HCP_0009,Oncologist,B,West-1,West,12.0,22.416666666666668,50.0,2026-04-26,56.0,2366.0,4.0,4.0,4.67
H0010,Dr. HCP_0010,Cardiologist,C,North-2,North,68.0,19.323529411764707,299.0,2026-04-16,80.0,3344.0,5.0,14.0,1.18
H0011,Dr. HCP_0011,Cardiologist,A,East-2,East,8.0,22.0,30.0,2026-03-05,71.0,2958.0,5.0,56.0,8.88
H0012,Dr. HCP_0012,Endocrinologist,C,South-2,South,91.0,19.9010989010989,311.0,2026-04-25,159.0,6090.0,5.0,5.0,1.75
H0013,Dr. HCP_0013,Oncologist,C,South-1,South,41.0,19.682926829268293,142.0,2026-03-26,55.0,2262.0,5.0,35.0,1.34
H0014,Dr. HCP_0014,Oncologist,B,East-1,East,0.0,0.0,0.0,,11.0,515.0,2.0,,
H0015,Dr. HCP_0015,Oncologist,A,North-2,North,30.0,21.466666666666665,110.0,2026-04-19,160.0,6549.0,5.0,11.0,5.33
H0016,Dr. HCP_0016,General Physician,A,North-1,North,13.0,18.53846153846154,53.0,2026-04-12,143.0,6015.0,5.0,18.0,11.0
H0017,Dr. HCP_0017,Endocrinologist,B,North-2,North,50.0,20.12,212.0,2026-04-26,165.0,6228.0,5.0,4.0,3.3
H0018,Dr. HCP_0018,Oncologist,B,West-1,West,12.0,20.083333333333332,46.0,2026-02-24,43.0,1748.0,5.0,65.0,3.58
H0019,Dr. HCP_0019,Oncologist,B,South-2,South,49.0,20.571428571428573,211.0,2026-04-28,152.0,5647.0,5.0,2.0,3.1
H0020,Dr. HCP_0020,Oncologist,B,South-1,South,32.0,18.46875,115.0,2026-04-28,90.0,3708.0,5.0,2.0,2.81
H0021,Dr. HCP_0021,Pulmonologist,B,West-1,West,15.0,16.733333333333334,61.0,2026-04-19,55.0,1977.0,5.0,11.0,3.67
H0022,Dr. HCP_0022,Oncologist,A,East-1,East,0.0,0.0,0.0,,10.0,349.0,2.0,,
H0023,Dr. HCP_0023,Endocrinologist,B,South-1,South,38.0,19.763157894736842,160.0,2026-04-13,154.0,5911.0,5.0,17.0,4.05
H0024,Dr. HCP_0024,Cardiologist,B,South-2,South,73.0,18.63013698630137,303.0,2026-04-22,373.0,13572.0,5.0,8.0,5.11
H0025,Dr. HCP_0025,Cardiologist,B,East-2,East,14.0,16.714285714285715,48.0,2026-03-16,59.0,2216.0,4.0,45.0,4.21
H0026,Dr. HCP_0026,Oncologist,C,Central-2,Central,19.0,19.894736842105264,61.0,2026-03-29,42.0,1767.0,5.0,32.0,2.21
H0027,Dr. HCP_0027,Neurologist,A,North-1,North,27.0,20.22222222222222,114.0,2026-04-30,227.0,10142.0,5.0,0.0,8.41
H0028,Dr. HCP_0028,Cardiologist,B,South-1,South,27.0,18.185185185185187,110.0,2026-03-23,109.0,4240.0,5.0,38.0,4.04
H0029,Dr. HCP_0029,Oncologist,B,South-2,South,63.0,20.3015873015873,274.0,2026-04-28,229.0,9022.0,5.0,2.0,3.63
H0030,Dr. HCP_0030,Endocrinologist,A,Central-2,Central,8.0,13.5,40.0,2026-01-01,32.0,1317.0,5.0,119.0,4.0
H0031,Dr. HCP_0031,Cardiologist,B,Central-2,Central,12.0,18.75,65.0,2026-04-20,38.0,1635.0,3.0,10.0,3.17
H0032,Dr. HCP_0032,Neurologist,A,Central-2,Central,8.0,17.375,22.0,2026-04-15,63.0,2619.0,4.0,15.0,7.88
H0033,Dr. HCP_0033,Endocrinologist,A,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0034,Dr. HCP_0034,Pulmonologist,C,South-2,South,76.0,19.05263157894737,306.0,2026-04-17,131.0,5298.0,5.0,13.0,1.72
H0035,Dr. HCP_0035,General Physician,C,South-1,South,45.0,20.0,196.0,2026-04-14,75.0,2935.0,5.0,16.0,1.67
H0036,Dr. HCP_0036,Pulmonologist,C,West-2,West,22.0,22.272727272727273,70.0,2026-04-09,32.0,1318.0,5.0,21.0,1.45
H0037,Dr. HCP_0037,Oncologist,B,North-1,North,39.0,19.435897435897434,162.0,2026-04-14,171.0,7182.0,5.0,16.0,4.38
H0038,Dr. HCP_0038,Neurologist,A,North-2,North,19.0,18.05263157894737,86.0,2026-04-21,182.0,7730.0,5.0,9.0,9.58
H0039,Dr. HCP_0039,Pulmonologist,B,Central-1,Central,40.0,18.775,168.0,2026-04-21,155.0,6233.0,5.0,9.0,3.88
H0040,Dr. HCP_0040,Cardiologist,B,East-2,East,13.0,19.76923076923077,55.0,2026-04-18,43.0,1613.0,5.0,12.0,3.31
H0041,Dr. HCP_0041,Pulmonologist,A,East-2,East,11.0,21.90909090909091,49.0,2026-01-06,93.0,3932.0,5.0,114.0,8.45
