product_id,product_name,therapy_area,rx_month,total_prescriptions,total_units_dispensed,prescribing_hcps,previous_month_units,unit_change,unit_growth_pct,prescription_growth_pct
P001,Cardiozen,Cardiology,2025-06-01,740,29707,289,,,,
P001,Cardiozen,Cardiology,2025-07-01,695,27463,289,29707.0,-2244.0,-7.55,-6.08
P001,Cardiozen,Cardiology,2025-08-01,714,28783,288,27463.0,1320.0,4.81,2.73
P001,Cardiozen,Cardiology,2025-09-01,698,28567,303,28783.0,-216.0,-0.75,-2.24
P001,Cardiozen,Cardiology,2025-10-01,720,29042,297,28567.0,475.0,1.66,3.15
P001,Cardiozen,Cardiology,2025-11-01,744,29744,311,29042.0,702.0,2.42,3.33
P001,Cardiozen,Cardiology,2025-12-01,688,27132,303,29744.0,-2612.0,-8.78,-7.53
P001,Cardiozen,Cardiology,2026-01-01,735,30814,301,27132.0,3682.0,13.57,6.83
P001,Cardiozen,Cardiology,2026-02-01,747,29289,300,30814.0,-1525.0,-4.95,1.63
P001,Cardiozen,Cardiology,2026-03-01,715,29296,294,29289.0,7.0,0.02,-4.28
P002,Diabolite,Diabetes,2025-06-01,758,30658,288,,,,
P002,Diabolite,Diabetes,2025-07-01,731,29794,285,30658.0,-864.0,-2.82,-3.56
P002,Diabolite,Diabetes,2025-08-01,755,30658,301,29794.0,864.0,2.9,3.28
P002,Diabolite,Diabetes,2025-09-01,749,29972,299,30658.0,-686.0,-2.24,-0.79
P002,Diabolite,Diabetes,2025-10-01,726,28933,291,29972.0,-1039.0,-3.47,-3.07
P002,Diabolite,Diabetes,2025-11-01,792,31709,289,28933.0,2776.0,9.59,9.09
P002,Diabolite,Diabetes,2025-12-01,761,30590,304,31709.0,-1119.0,-3.53,-3.91
P002,Diabolite,Diabetes,2026-01-01,742,29968,282,30590.0,-622.0,-2.03,-2.5
P002,Diabolite,Diabetes,2026-02-01,737,30743,294,29968.0,775.0,2.59,-0.67
P002,Diabolite,Diabetes,2026-03-01,720,28836,301,30743.0,-1907.0,-6.2,-2.31
P005,Neurofine,Neurology,2025-06-01,746,30189,300,,,,
P005,Neurofine,Neurology,2025-07-01,651,26810,264,30189.0,-3379.0,-11.19,-12.73
P005,Neurofine,Neurology,2025-08-01,711,27424,282,26810.0,614.0,2.29,9.22
P005,Neurofine,Neurology,2025-09-01,741,29176,292,27424.0,1752.0,6.39,4.22
P005,Neurofine,Neurology,2025-10-01,682,27391,273,29176.0,-1785.0,-6.12,-7.96
P005,Neurofine,Neurology,2025-11-01,696,28653,278,27391.0,1262.0,4.61,2.05
P005,Neurofine,Neurology,2025-12-01,708,28059,272,28653.0,-594.0,-2.07,1.72
P005,Neurofine,Neurology,2026-01-01,739,30078,288,28059.0,2019.0,7.2,4.38
P005,Neurofine,Neurology,2026-02-01,698,27789,279,30078.0,-2289.0,-7.61,-5.55
P005,Neurofine,Neurology,2026-03-01,687,28195,283,27789.0,406.0,1.46,-1.58
P004,Oncoshield,Oncology,2025-06-01,727,28813,296,,,,
P004,Oncoshield,Oncology,2025-07-01,731,27220,281,28813.0,-1593.0,-5.53,0.55
P004,Oncoshield,Oncology,2025-08-01,745,28684,309,27220.0,1464.0,5.38,1.92
P004,Oncoshield,Oncology,2025-09-01,755,30232,294,28684.0,1548.0,5.4,1.34
P004,Oncoshield,Oncology,2025-10-01,738,29396,300,30232.0,-836.0,-2.77,-2.25
P004,Oncoshield,Oncology,2025-11-01,714,27942,292,29396.0,-1454.0,-4.95,-3.25
P004,Oncoshield,Oncology,2025-12-01,723,28712,290,27942.0,770.0,2.76,1.26
P004,Oncoshield,Oncology,2026-01-01,775,31209,306,28712.0,2497.0,8.7,7.19
P004,Oncoshield,Oncology,2026-02-01,705,27606,281,31209.0,-3603.0,-11.54,-9.03
P004,Oncoshield,Oncology,2026-03-01,697,27712,286,27606.0,106.0,0.38,-1.13
P003,Respira-X,Respiratory,2025-06-01,701,28748,276,,,,
P003,Respira-X,Respiratory,2025-07-01,651,26688,271,28748.0,-2060.0,-7.17,-7.13
P003,Respira-X,Respiratory,2025-08-01,672,26856,273,26688.0,168.0,0.63,3.23
P003,Respira-X,Respiratory,2025-09-01,729,28862,281,26856.0,2006.0,7.47,8.48
P003,Respira-X,Respiratory,2025-10-01,674,26816,280,28862.0,-2046.0,-7.09,-7.54
P003,Respira-X,Respiratory,2025-11-01,693,28300,281,26816.0,1484.0,5.53,2.82
P003,Respira-X,Respiratory,2025-12-01,690,27612,285,28300.0,-688.0,-2.43,-0.43
P003,Respira-X,Respiratory,2026-01-01,720,28651,291,27612.0,1039.0,3.76,4.35
P003,Respira-X,Respiratory,2026-02-01,728,30240,291,28651.0,1589.0,5.55,1.11
P003,Respira-X,Respiratory,2026-03-01,640,24752,268,30240.0,-5488.0,-18.15,-12.09
