rep_id,hire_date,source_tenure_months,calculated_tenure_months,difference_months,is_consistent
R001,2021-01-03,38,63,-25,False
R002,2017-08-22,16,104,-88,False
R003,2023-05-26,57,35,22,False
R004,2021-02-23,30,62,-32,False
R005,2017-06-18,6,106,-100,False
R006,2021-04-14,56,60,-4,False
R007,2023-09-07,38,31,7,False
R008,2020-08-21,46,68,-22,False
R009,2022-08-11,46,44,2,False
R010,2019-09-24,15,79,-64,False
R011,2023-04-09,36,36,0,True
R012,2019-07-06,18,81,-63,False
R013,2019-09-13,40,79,-39,False
R014,2023-03-30,11,37,-26,False
R015,2021-02-22,13,62,-49,False
R016,2018-09-02,38,91,-53,False
R017,2019-10-09,50,78,-28,False
R018,2021-11-02,12,53,-41,False
R019,2018-07-28,23,93,-70,False
R020,2017-07-05,84,105,-21,False
R021,2021-03-09,10,61,-51,False
R022,2020-10-02,54,66,-12,False
R023,2020-03-24,75,73,2,False
R024,2018-08-11,53,92,-39,False
R025,2020-12-27,20,64,-44,False
R026,2017-03-14,36,109,-73,False
R027,2019-09-12,54,79,-25,False
R028,2018-03-22,68,97,-29,False
R029,2022-01-15,17,51,-34,False
R030,2023-01-16,79,39,40,False
R031,2018-07-04,79,93,-14,False
R032,2023-08-17,73,32,41,False
R033,2019-12-10,37,76,-39,False
R034,2021-12-25,58,52,6,False
R035,2018-02-21,36,98,-62,False
R036,2020-05-29,16,71,-55,False
R037,2022-01-15,28,51,-23,False
R038,2017-10-22,72,102,-30,False
R039,2018-04-11,44,96,-52,False
R040,2020-04-22,49,72,-23,False
R041,2017-05-24,33,107,-74,False
R042,2022-12-24,65,40,25,False
R043,2018-06-05,19,94,-75,False
R044,2017-11-02,36,101,-65,False
R045,2017-09-16,30,103,-73,False
R046,2019-07-27,54,81,-27,False
R047,2022-05-26,60,47,13,False
R048,2019-12-19,11,76,-65,False
R049,2021-03-05,73,61,12,False
R050,2022-12-17,3,40,-37,False
